,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,92,NZ,1547180533,73,-46.19,168.86,13.21,9.31
1,Arraial do Cabo,24,BR,1547180576,88,-22.97,-42.02,24.89,7.61
2,Hobart,20,AU,1547179200,42,-42.88,147.33,29.0,6.7
3,Kangaatsiaq,64,GL,1547180543,100,68.31,-53.46,-11.67,3.91
4,Tuktoyaktuk,20,CA,1547175600,73,69.44,-133.03,-34.0,4.1
5,San Cristobal,75,EC,1547179200,100,-0.39,-78.55,13.0,1.5
6,Lavrentiya,0,RU,1547180586,82,65.58,-170.99,-22.42,6.61
7,Vanimo,0,PG,1547180587,100,-2.67,141.3,27.76,4.21
8,Deputatskiy,48,RU,1547180589,0,69.3,139.9,-37.42,1.26
9,Grand Gaube,40,MU,1547179200,78,-20.01,57.66,28.0,4.6
10,Kodiak,90,US,1547178900,61,39.95,-94.76,2.2,3.1
11,Albany,90,US,1547179020,57,42.65,-73.75,-3.9,8.2
12,Busselton,0,AU,1547180592,97,-33.64,115.35,20.29,1.71
13,Soni,0,TZ,1547180595,92,-4.85,38.37,17.44,1.16
14,Esperance,0,TT,1547179200,88,10.24,-61.45,24.0,2.66
15,Robertsport,0,LR,1547180597,100,6.75,-11.37,27.34,3.56
16,Basco,1,US,1547178900,73,40.33,-91.2,-3.9,3.1
17,San Patricio,56,PY,1547180599,94,-26.98,-56.83,24.31,1.11
18,Bluff,92,AU,1547180600,76,-23.58,149.07,26.76,4.66
19,Bogotol,8,RU,1547180602,69,56.21,89.53,-20.77,3.31
20,Qaanaaq,24,GL,1547180603,100,77.48,-69.36,-27.94,3.81
21,Hermanus,0,ZA,1547180604,95,-34.42,19.24,9.56,1.86
22,Punta Arenas,75,CL,1547179200,66,-53.16,-70.91,12.0,5.7
23,Port Alfred,64,ZA,1547180606,95,-33.59,26.89,18.76,2.71
24,Rikitea,44,PF,1547180324,99,-23.12,-134.97,26.51,7.36
25,Hilo,1,US,1547178780,73,19.71,-155.08,23.3,2.6
26,Vaini,0,IN,1547179200,36,15.34,74.49,24.0,2.6
27,Nganjuk,36,ID,1547180610,80,-7.6,111.9,28.76,1.61
28,Puerto Ayora,32,EC,1547180610,100,-0.74,-90.35,24.51,2.66
29,Lebu,0,ET,1547180611,71,8.96,38.73,-1.69,1.21
30,Cape Town,40,ZA,1547179200,82,-33.93,18.42,17.0,6.2
31,Ushuaia,40,AR,1547179200,58,-54.81,-68.31,13.0,8.7
32,Saint-Philippe,90,CA,1547179200,66,45.36,-73.48,-11.6,9.8
33,Tilichiki,44,RU,1547180615,82,60.47,166.1,-5.37,4.21
34,Laje,88,BR,1547180616,96,-13.18,-39.42,21.51,2.26
35,Santiago del Estero,88,AR,1547180616,71,-27.8,-64.26,19.56,7.76
36,Erzin,40,TR,1547178600,80,36.95,36.2,6.0,1.5
37,Mount Gambier,0,AU,1547179200,14,-37.83,140.78,33.0,7.2
38,Norman Wells,75,CA,1547175600,65,65.28,-126.83,-37.0,1.5
39,Kapiri Mposhi,92,ZM,1547180620,98,-13.97,28.68,18.21,2.71
40,Sur,8,OM,1547180621,100,22.57,59.53,21.59,1.11
41,Chokurdakh,32,RU,1547180621,0,70.62,147.9,-38.99,1.41
42,Tasiilaq,80,GL,1547178600,73,65.61,-37.64,-7.0,7.2
43,West Fargo,1,US,1547180100,72,46.88,-96.9,-8.9,3.6
44,Itaituba,92,BR,1547180624,100,-4.26,-55.99,22.21,1.06
45,Ahuimanu,1,US,1547179020,84,21.44,-157.84,25.6,2.76
46,Asbury Park,1,US,1547178960,55,33.46,-86.74,2.2,1.5
